timestamp,snapshot,pod,cpu,ram
17:55:44,3,emailservice-66944ff59-zvg4w,5m,56Mi
17:55:44,3,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:55:44,3,paymentservice-9bfb7bf5-9mdwz,3m,125Mi
17:55:44,3,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:55:44,3,shippingservice-f956b6d9f-ml5cg,3m,31Mi
17:55:44,3,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:55:44,3,productcatalogservice-65bbf699df-8ztwv,1m,15Mi
17:55:54,4,frontend-7bd6f45654-dnhzb,47m,41Mi
17:55:54,4,currencyservice-7c8fc8fc9c-rtbz4,38m,122Mi
17:55:54,4,recommendationservice-7444754ff5-kk4vc,33m,80Mi
17:55:54,4,cartservice-db96d6fcc-tsdhc,22m,145Mi
17:55:54,4,productcatalogservice-65bbf699df-d9cxl,21m,42Mi
17:55:54,4,adservice-574bff445c-k5l76,10m,274Mi
17:55:54,4,emailservice-66944ff59-zvg4w,5m,56Mi
17:55:54,4,shippingservice-f956b6d9f-ml5cg,5m,31Mi
17:55:54,4,checkoutservice-5b6d96c9b7-fwtng,4m,37Mi
17:55:54,4,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:55:54,4,paymentservice-9bfb7bf5-9mdwz,3m,125Mi
17:55:54,4,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:55:54,4,productcatalogservice-65bbf699df-8ztwv,1m,15Mi
17:55:54,4,frontend-7bd6f45654-dnhzb,47m,41Mi
17:55:54,4,currencyservice-7c8fc8fc9c-rtbz4,38m,122Mi
17:55:54,4,recommendationservice-7444754ff5-kk4vc,33m,80Mi
17:55:54,4,cartservice-db96d6fcc-tsdhc,22m,145Mi
17:55:54,4,productcatalogservice-65bbf699df-d9cxl,21m,42Mi
17:55:54,4,adservice-574bff445c-k5l76,10m,274Mi
17:55:54,4,emailservice-66944ff59-zvg4w,5m,56Mi
17:55:54,4,shippingservice-f956b6d9f-ml5cg,5m,31Mi
17:55:54,4,checkoutservice-5b6d96c9b7-fwtng,4m,37Mi
17:55:54,4,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:55:54,4,paymentservice-9bfb7bf5-9mdwz,3m,125Mi
17:55:54,4,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:55:54,4,productcatalogservice-65bbf699df-8ztwv,1m,15Mi
17:56:05,5,currencyservice-7c8fc8fc9c-rtbz4,40m,122Mi
17:56:05,5,frontend-7bd6f45654-dnhzb,39m,41Mi
17:56:05,5,recommendationservice-7444754ff5-kk4vc,29m,80Mi
17:56:05,5,productcatalogservice-65bbf699df-d9cxl,26m,42Mi
17:56:05,5,cartservice-db96d6fcc-tsdhc,17m,145Mi
17:56:05,5,adservice-574bff445c-k5l76,9m,274Mi
17:56:05,5,emailservice-66944ff59-zvg4w,4m,56Mi
17:56:05,5,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:56:05,5,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:56:05,5,shippingservice-f956b6d9f-ml5cg,3m,31Mi
17:56:05,5,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:56:05,5,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:56:05,5,productcatalogservice-65bbf699df-8ztwv,1m,15Mi
17:56:05,5,currencyservice-7c8fc8fc9c-rtbz4,40m,122Mi
17:56:05,5,frontend-7bd6f45654-dnhzb,39m,41Mi
